Date,VOO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2017-02-15,199.7373504638672,48.3991813659668,,60.540287017822266,22.618011474609375,60.7804069519043,49.10585021972656,48.43833923339844,27.257041931152344,42.95622634887695,68.62777709960938,82.53653717041016
2017-02-16,199.57989501953125,48.3991813659668,,59.715145111083984,22.562658309936523,60.79887008666992,49.21940994262695,48.50099182128906,27.370681762695312,43.38535690307617,68.53461456298828,82.11801147460938
2017-02-17,199.88552856445312,48.26076889038086,,59.385093688964844,22.571884155273438,60.90054702758789,49.389747619628906,48.74264144897461,27.44936180114746,43.4116325378418,68.62777709960938,82.38434600830078
2017-02-21,201.0616912841797,48.41764450073242,,59.78940963745117,22.68257713317871,61.205562591552734,49.645267486572266,49.18120574951172,27.82526206970215,43.86703109741211,68.93521881103516,82.8599624633789
2017-02-22,200.9690399169922,48.54682540893555,,58.88175582885742,22.701026916503906,61.039188385009766,49.70204544067383,49.190147399902344,27.720355987548828,44.050941467285156,68.83273315429688,82.8599624633789
2017-02-23,201.08018493652344,48.27922058105469,,59.12930679321289,22.701026916503906,60.64175796508789,49.69257736206055,49.3065071105957,27.903932571411133,44.5063362121582,69.3358383178711,82.2987289428711
2017-02-24,201.3209686279297,48.38072967529297,,58.576454162597656,22.525766372680664,60.90054702758789,49.8061408996582,49.4765625,28.043804168701172,45.1806755065918,69.6712646484375,82.67921447753906
2017-02-27,201.61729431152344,48.26076889038086,,59.07978820800781,22.645679473876953,61.12238311767578,49.77775192260742,49.252803802490234,28.183673858642578,44.926700592041016,70.00667572021484,82.77434539794922
2017-02-28,201.02462768554688,48.214630126953125,,58.89826202392578,22.636459350585938,60.87282180786133,49.54116439819336,49.315460205078125,28.096256256103516,45.33831024169922,69.86691284179688,82.15606689453125
2017-03-01,203.87698364257812,49.155860900878906,,60.078208923339844,23.282161712646484,61.89876174926758,50.241455078125,49.54816436767578,28.026323318481445,44.93545913696289,70.56566619873047,83.0787353515625
2017-03-02,202.68231201171875,48.6298713684082,,59.50885772705078,22.92241096496582,61.233299255371094,49.91023254394531,49.53921127319336,27.93890380859375,45.259490966796875,70.3420639038086,82.87896728515625
2017-03-03,202.7934112548828,48.59296417236328,,59.401588439941406,23.033098220825195,61.29798889160156,50.02379608154297,49.351253509521484,27.851484298706055,45.11936569213867,70.62158203125,82.75531005859375
2017-03-06,202.1636962890625,48.27922058105469,,59.53361511230469,22.857839584350586,61.15011215209961,49.94809341430664,49.13645553588867,27.737838745117188,45.03178787231445,70.35137939453125,82.48898315429688
2017-03-07,201.552490234375,48.01162338256836,,59.00553512573242,22.79326820373535,60.97450256347656,49.94809341430664,49.07380676269531,27.64168357849121,45.00551986694336,69.85759735107422,82.22264099121094
2017-03-08,201.12648010253906,48.01162338256836,,57.470767974853516,22.802494049072266,60.76191711425781,50.00486755371094,48.96640396118164,27.230815887451172,44.35744857788086,70.13711547851562,82.56509399414062
2017-03-09,201.3395233154297,47.863983154296875,,57.85033416748047,22.885513305664062,60.484642028808594,49.99541091918945,49.04695129394531,26.88114356994629,44.26111602783203,70.51909637451172,82.48898315429688
2017-03-10,202.04331970214844,48.08544158935547,,57.767826080322266,22.8670654296875,60.85433578491211,50.2603874206543,49.27070617675781,26.854917526245117,44.62894058227539,70.78927612304688,82.6126480102539
2017-03-13,202.1636962890625,48.22385787963867,,57.776065826416016,22.92241096496582,60.81736755371094,50.30770492553711,49.3065071105957,26.889883041381836,44.76030731201172,70.7333755493164,82.8314208984375
2017-03-14,201.47840881347656,47.80862045288086,,57.124210357666016,22.857839584350586,60.244319915771484,50.19414138793945,49.163307189941406,26.854917526245117,44.71650695800781,70.4725112915039,82.81239318847656
2017-03-15,203.1545867919922,48.57451248168945,,58.394920349121094,22.820945739746094,60.92827224731445,50.53482437133789,49.53025817871094,27.370681762695312,45.43464279174805,71.35758972167969,83.24995422363281
2017-03-16,202.81195068359375,48.24231719970703,,57.98234558105469,22.857839584350586,60.6510009765625,50.5632209777832,49.60186004638672,27.309492111206055,44.93545913696289,70.66814422607422,83.24044799804688
2017-03-17,202.40444946289062,48.44966506958008,,57.94002914428711,22.633813858032227,60.98246765136719,50.672462463378906,49.46690368652344,27.360519409179688,45.206356048583984,70.27918243408203,83.34632873535156
2017-03-20,202.228515625,48.71810531616211,,57.85702133178711,22.448673248291016,60.87104415893555,50.719966888427734,49.56587219238281,27.38690948486328,44.90633773803711,70.17632293701172,83.14599609375
2017-03-21,199.644775390625,47.90351486206055,,57.45027542114258,21.819183349609375,59.94256591796875,49.978973388671875,49.52088928222656,27.34292221069336,45.54167556762695,69.62464904785156,82.0965347290039
2017-03-22,200.05230712890625,48.04237365722656,,57.36726379394531,21.772897720336914,60.1561164855957,50.29246520996094,49.42192459106445,27.404508590698242,45.762271881103516,69.64332580566406,82.19194030761719
2017-03-23,199.84756469726562,48.24601364135742,,57.13482666015625,21.819183349609375,60.07255172729492,50.15946578979492,49.31395721435547,27.606849670410156,45.62109375,69.42827606201172,82.38274383544922
2017-03-24,199.782470703125,47.8202018737793,,56.91072082519531,21.791412353515625,59.91472244262695,50.19746398925781,49.21498489379883,27.580455780029297,45.78874969482422,69.46566009521484,82.58309173583984
